CODE,SHORT DESCRIPTION (VALID ICD-10 FY2026),LONG DESCRIPTION (VALID ICD-10 FY2026),NF EXCL
C159,"Malignant neoplasm of esophagus, unspecified","Malignant neoplasm of esophagus, unspecified",
C160,Malignant neoplasm of cardia,Malignant neoplasm of cardia,
C161,Malignant neoplasm of fundus of stomach,Malignant neoplasm of fundus of stomach,
C162,Malignant neoplasm of body of stomach,Malignant neoplasm of body of stomach,
C163,Malignant neoplasm of pyloric antrum,Malignant neoplasm of pyloric antrum,
C164,Malignant neoplasm of pylorus,Malignant neoplasm of pylorus,
C165,"Malignant neoplasm of lesser curvature of stomach, unsp","Malignant neoplasm of lesser curvature of stomach, unspecified",
C166,"Malignant neoplasm of greater curvature of stomach, unsp","Malignant neoplasm of greater curvature of stomach, unspecified",
C168,Malignant neoplasm of overlapping sites of stomach,Malignant neoplasm of overlapping sites of stomach,
C169,"Malignant neoplasm of stomach, unspecified","Malignant neoplasm of stomach, unspecified",
C170,Malignant neoplasm of duodenum,Malignant neoplasm of duodenum,
C171,Malignant neoplasm of jejunum,Malignant neoplasm of jejunum,
C172,Malignant neoplasm of ileum,Malignant neoplasm of ileum,
C178,Malignant neoplasm of overlapping sites of small intestine,Malignant neoplasm of overlapping sites of small intestine,
C179,"Malignant neoplasm of small intestine, unspecified","Malignant neoplasm of small intestine, unspecified",
C180,Malignant neoplasm of cecum,Malignant neoplasm of cecum,
C181,Malignant neoplasm of appendix,Malignant neoplasm of appendix,
C182,Malignant neoplasm of ascending colon,Malignant neoplasm of ascending colon,
C183,Malignant neoplasm of hepatic flexure,Malignant neoplasm of hepatic flexure,
C184,Malignant neoplasm of transverse colon,Malignant neoplasm of transverse colon,
C185,Malignant neoplasm of splenic flexure,Malignant neoplasm of splenic flexure,
C186,Malignant neoplasm of descending colon,Malignant neoplasm of descending colon,
C187,Malignant neoplasm of sigmoid colon,Malignant neoplasm of sigmoid colon,
C188,Malignant neoplasm of overlapping sites of colon,Malignant neoplasm of overlapping sites of colon,
C189,"Malignant neoplasm of colon, unspecified","Malignant neoplasm of colon, unspecified",
C19,Malignant neoplasm of rectosigmoid junction,Malignant neoplasm of rectosigmoid junction,
C20,Malignant neoplasm of rectum,Malignant neoplasm of rectum,
C210,"Malignant neoplasm of anus, unspecified","Malignant neoplasm of anus, unspecified",
C211,Malignant neoplasm of anal canal,Malignant neoplasm of anal canal,
C212,Malignant neoplasm of cloacogenic zone,Malignant neoplasm of cloacogenic zone,
C218,"Malig neoplasm of ovrlp sites of rectum, anus and anal canal","Malignant neoplasm of overlapping sites of rectum, anus and anal canal",
C228,"Malignant neoplasm of liver, primary, unspecified as to type","Malignant neoplasm of liver, primary, unspecified as to type",
C229,"Malig neoplasm of liver, not specified as primary or sec","Malignant neoplasm of liver, not specified as primary or secondary",
C23,Malignant neoplasm of gallbladder,Malignant neoplasm of gallbladder,
C240,Malignant neoplasm of extrahepatic bile duct,Malignant neoplasm of extrahepatic bile duct,
C241,Malignant neoplasm of ampulla of Vater,Malignant neoplasm of ampulla of Vater,
C248,Malignant neoplasm of overlapping sites of biliary tract,Malignant neoplasm of overlapping sites of biliary tract,
C249,"Malignant neoplasm of biliary tract, unspecified","Malignant neoplasm of biliary tract, unspecified",
C250,Malignant neoplasm of head of pancreas,Malignant neoplasm of head of pancreas,
C251,Malignant neoplasm of body of pancreas,Malignant neoplasm of body of pancreas,
C252,Malignant neoplasm of tail of pancreas,Malignant neoplasm of tail of pancreas,
C253,Malignant neoplasm of pancreatic duct,Malignant neoplasm of pancreatic duct,
C254,Malignant neoplasm of endocrine pancreas,Malignant neoplasm of endocrine pancreas,
C257,Malignant neoplasm of other parts of pancreas,Malignant neoplasm of other parts of pancreas,
C258,Malignant neoplasm of overlapping sites of pancreas,Malignant neoplasm of overlapping sites of pancreas,
C259,"Malignant neoplasm of pancreas, unspecified","Malignant neoplasm of pancreas, unspecified",
C260,"Malignant neoplasm of intestinal tract, part unspecified","Malignant neoplasm of intestinal tract, part unspecified",
C261,Malignant neoplasm of spleen,Malignant neoplasm of spleen,
C269,Malignant neoplasm of ill-defined sites within the dgstv sys,Malignant neoplasm of ill-defined sites within the digestive system,
C300,Malignant neoplasm of nasal cavity,Malignant neoplasm of nasal cavity,
C301,Malignant neoplasm of middle ear,Malignant neoplasm of middle ear,
C310,Malignant neoplasm of maxillary sinus,Malignant neoplasm of maxillary sinus,
C311,Malignant neoplasm of ethmoidal sinus,Malignant neoplasm of ethmoidal sinus,
C312,Malignant neoplasm of frontal sinus,Malignant neoplasm of frontal sinus,
C313,Malignant neoplasm of sphenoid sinus,Malignant neoplasm of sphenoid sinus,
C318,Malignant neoplasm of overlapping sites of accessory sinuses,Malignant neoplasm of overlapping sites of accessory sinuses,
C319,"Malignant neoplasm of accessory sinus, unspecified","Malignant neoplasm of accessory sinus, unspecified",
C320,Malignant neoplasm of glottis,Malignant neoplasm of glottis,
C321,Malignant neoplasm of supraglottis,Malignant neoplasm of supraglottis,
C322,Malignant neoplasm of subglottis,Malignant neoplasm of subglottis,
C323,Malignant neoplasm of laryngeal cartilage,Malignant neoplasm of laryngeal cartilage,
C328,Malignant neoplasm of overlapping sites of larynx,Malignant neoplasm of overlapping sites of larynx,
C329,"Malignant neoplasm of larynx, unspecified","Malignant neoplasm of larynx, unspecified",
C33,Malignant neoplasm of trachea,Malignant neoplasm of trachea,
C3400,Malignant neoplasm of unspecified main bronchus,Malignant neoplasm of unspecified main bronchus,
C3401,Malignant neoplasm of right main bronchus,Malignant neoplasm of right main bronchus,
C3402,Malignant neoplasm of left main bronchus,Malignant neoplasm of left main bronchus,
C3410,"Malignant neoplasm of upper lobe, unsp bronchus or lung","Malignant neoplasm of upper lobe, unspecified bronchus or lung",
C3411,"Malignant neoplasm of upper lobe, right bronchus or lung","Malignant neoplasm of upper lobe, right bronchus or lung",
C3412,"Malignant neoplasm of upper lobe, left bronchus or lung","Malignant neoplasm of upper lobe, left bronchus or lung",
C342,"Malignant neoplasm of middle lobe, bronchus or lung","Malignant neoplasm of middle lobe, bronchus or lung",
C3430,"Malignant neoplasm of lower lobe, unsp bronchus or lung","Malignant neoplasm of lower lobe, unspecified bronchus or lung",
C3431,"Malignant neoplasm of lower lobe, right bronchus or lung","Malignant neoplasm of lower lobe, right bronchus or lung",
C3432,"Malignant neoplasm of lower lobe, left bronchus or lung","Malignant neoplasm of lower lobe, left bronchus or lung",
C3480,Malignant neoplasm of ovrlp sites of unsp bronchus and lung,Malignant neoplasm of overlapping sites of unspecified bronchus and lung,
C3481,Malignant neoplasm of ovrlp sites of right bronchus and lung,Malignant neoplasm of overlapping sites of right bronchus and lung,
C3482,Malignant neoplasm of ovrlp sites of left bronchus and lung,Malignant neoplasm of overlapping sites of left bronchus and lung,
C3490,Malignant neoplasm of unsp part of unsp bronchus or lung,Malignant neoplasm of unspecified part of unspecified bronchus or lung,
C3491,Malignant neoplasm of unsp part of right bronchus or lung,Malignant neoplasm of unspecified part of right bronchus or lung,
C3492,Malignant neoplasm of unsp part of left bronchus or lung,Malignant neoplasm of unspecified part of left bronchus or lung,
C37,Malignant neoplasm of thymus,Malignant neoplasm of thymus,
C380,Malignant neoplasm of heart,Malignant neoplasm of heart,
C381,Malignant neoplasm of anterior mediastinum,Malignant neoplasm of anterior mediastinum,
C382,Malignant neoplasm of posterior mediastinum,Malignant neoplasm of posterior mediastinum,
C383,"Malignant neoplasm of mediastinum, part unspecified","Malignant neoplasm of mediastinum, part unspecified",
C384,Malignant neoplasm of pleura,Malignant neoplasm of pleura,
C388,"Malig neoplm of ovrlp sites of heart, mediastinum and pleura","Malignant neoplasm of overlapping sites of heart, mediastinum and pleura",
C390,"Malignant neoplasm of upper respiratory tract, part unsp","Malignant neoplasm of upper respiratory tract, part unspecified",
C399,"Malignant neoplasm of lower respiratory tract, part unsp","Malignant neoplasm of lower respiratory tract, part unspecified",
C4000,Malig neoplasm of scapula and long bones of unsp upper limb,Malignant neoplasm of scapula and long bones of unspecified upper limb,
C4001,Malig neoplasm of scapula and long bones of right upper limb,Malignant neoplasm of scapula and long bones of right upper limb,
C4002,Malig neoplasm of scapula and long bones of left upper limb,Malignant neoplasm of scapula and long bones of left upper limb,
C4010,Malignant neoplasm of short bones of unspecified upper limb,Malignant neoplasm of short bones of unspecified upper limb,
C4011,Malignant neoplasm of short bones of right upper limb,Malignant neoplasm of short bones of right upper limb,
C4012,Malignant neoplasm of short bones of left upper limb,Malignant neoplasm of short bones of left upper limb,
C4020,Malignant neoplasm of long bones of unspecified lower limb,Malignant neoplasm of long bones of unspecified lower limb,
C4021,Malignant neoplasm of long bones of right lower limb,Malignant neoplasm of long bones of right lower limb,
C4022,Malignant neoplasm of long bones of left lower limb,Malignant neoplasm of long bones of left lower limb,
C4030,Malignant neoplasm of short bones of unspecified lower limb,Malignant neoplasm of short bones of unspecified lower limb,
C4031,Malignant neoplasm of short bones of right lower limb,Malignant neoplasm of short bones of right lower limb,
